亲爱的，晚饭做什么吃？	红烧鲤鱼和鲜蘑油菜。
噢，糟糕。我们开会要迟到了。	不会的。我们坐出租车去。那比坐公车或搭地铁快。
喂，这是ABC公司吗？	是的，我能为你服务吗？
打扰一下，请问去华尔街怎么走？	坐往南开的A 列车到自由大街站。在那儿你就可以找到了。
哦，真糟糕。路上又堵车了。	16车道的主干道上怎么可能堵车？
对不起，先生，你不能在这里吸烟。	请你再说一遍好吗？
嗨，出租车。	早上好，女士。去哪里？
请把我送到这个地址。	是的，夫人。我们到了。
去湖畔公园怎么走？	乘7路车，那边有个站点。
嘿，朋友，你没看到有一条线吗？	哦，对不起。我不知道。
好像又出了严重的车祸了。	是呀。我们要下车帮帮忙吗？
请把我送到这个地址。	是的，夫人。我们到了。
喂，你是ABC租车公司吗？	是的，我是，我能为你效劳吗？
出租车，这儿。	你叫车吗？
出租车。	到哪里？
我买一张去伦敦的车票。	廉价往返吗？
快点!上层还有不少座位.请买票.	去海滩一张，多少钱？
请问这车有人用吗？	没有，需要帮忙吗？
请送我去肯尼迪机场。	抱歉，我的车有人约了。
租一辆经济车需要多少钱	19元一天或129元每周，不限里租
能送我们到第五大街吗？	行，进来吧。
有人约你的车了吗？	没有，先生。您要车吗？
去爱丁堡的车票多少钱？	单程还是往返？
你好，我想买一张去Brussels的票。	好的，先生，这是我们的列车时刻表。每天早晨我们有一趟特快列车出发，晚上有一趟9点的火车.
麻烦去卓成小学。	好的。
你知道我们坐哪路车吗？	当然啊，恩，让我先看一下公车牌。
我在曼哈顿邮电局下车。	那要开一小时，干嘛不在这儿邮寄呢？
这车有人用吗？	没有，先生。去哪儿？
嗨，我要两张到Provindence的票, 谢谢。	好，您要几点出发的？
这是去西单图书大厦的车吗？	对，是的。
爸爸，图书大厦在哪里呢？	我在找啊。你还记得售票员是怎么说的吗？
丹尼尔，给你些钱去买票吧。	好的，我很乐意。要买几张票？
爸爸，快啊，地铁来了。啊哈，我是超人。	不要跑，规矩点！先下后上。
有什么问题吗？	是的。我的汽车出了点毛病。
准备好上第一节驾驶课了吗?	准备好了.再告诉我一遍哪个是刹车?
你来这里真是找对人了。我们这里有很多车供你选择。	我想要租一辆音响好的车子。
我准备好上驾驶课程了。我应该先发动汽车吗？	Fittipaldi，先等下，我们再检查下。在你想发动车子前，要确保驾驶座位调到舒适的位置，且你能够紧握方向盘。下一步检查后视镜确保你能够看清。
坐进去看看感觉如何。那么你要租这辆保时捷啰？	是的，并且我要买保险，这是需要的。
你可算到了!怎么花了这么长的时间?	又遇到堵车了.家乐福那个路口老是特别堵
我的车上有手提电话，现在可能掉到人行道上了。你帮我拿来，我来打电话报警。	好。
该怎么办？车子无法离开这个沟渠，我被困住了。	我好担心，我已经快一小时没看到其他车子了。
汽车修理中心，你需要什么帮助？	我的车启动不了。真是破车。
你干嘛不看路？	我？是你停在我前面的。
是弗雷德的错吗？	不，我觉得不应该怪他，另一辆车的人失误了。
欢迎来到Al’s汽车修理厂。有什么问题？	没问题。我正在开车行驶很远的路程，我想确保车子状况良好。
吉姆，怎么了，伙计？	Charlie，那是你的车吗？它可真丑。
我很担心你的汽车。	它会没事的。
注意！一个小孩乱跑出来了。	哎呀，好险啊！我差一点撞倒他。
前面的路被堵住了。也许出了事故。	城里每天有很多交通事故吗？
把车停在这儿可以省些钱。	是呀，我不用再付钱在街上找地方停车了。
我现在可以了吗？	放松点慢慢来。只要加一点点油门。
我有点紧张。	别担心。没事的。先系上安全带。调整后照镜。
对不起，先生，你没看到红灯吗？	噢，我以为这里红灯时可以向右转。
非常抱歉，先生。我的车坏了。	真遗憾。还有办法吗？
这真刺激！多谢了！	我的荣幸。把手煞放开，我们可以准备出发了。
真希望我会开车。	真的？没问题。我来教你。我们今晚就可以开始！
您打算停多久呢？	不知道！我现在可以停车了吗？
我认为买车容易保养车难。更糟糕的是，我不相信那些汽车维修店。有时，他们收费过高或者要不给我修我一直在给钱的那些零部件。上周，他们甚至试着说服我买根本不需要换的新零部件。你知道的，我的车才买了半年，还是名牌。我对所有这些都很怀疑	有这样一些店以卖零部件为生。我也不喜欢他们的服务。他们要的是你的钱。但是从长远来说，他们会失去客户。无论如何，汽车服务业在中国还是新行业。我们都必须控制我们的行为。否则，他们不会改进的。
先生，我可以看看你的驾照和登记证吗？你知道你开得有多快吗？	不，我不知道。我想时速大约是65英里，对吗？
请问在哪儿挂号？	这里，你有挂号卡吗？
早上好。你哪里不舒服？	早上好，医生。我头疼得厉害。
您一定知道，您的手术安排在后天。	是的，但是我不知道确切时间。
史蒂文，你好点了吗？	好多了，医生说我很快就可以出院了。我真想家啊。
玛丽，你怎么了？你看起来脸色有点苍白。	恐怕我得了重感冒，我该怎么办？
哦，我的牙痛死了。	我郑重地劝告您赶紧改变饮食习惯，你甜食吃得太多了。
你看起来脸色可不太好.也许你应该请一天假。	我不能请假。今天我有个很重要的会议要参加。
怎么了？	这些日子我一直发低烧。
下午好，有什么可以帮您的？	我需要一些治疗消化不良的药。
您好。这是911。我能帮您吗？	我需要警察。
先生，午安。我能为您服务吗？	我要配这张处方。
鲁丝医生办公室，我可以为您服务吗？	好啊，我想和医生约诊。我叫蓝蒂·郝恩。
嗯，蓝蒂，你患了重感冒。你所要做的事便是多休息和多喝水。我会开些处方治你的喉咙。	谢谢医师。我能吃什么药治疗头疼呢？
嗨，我是蓝蒂·郝恩。我十点半和医生约好要看病。	请坐，郝恩先生，医生会很快看您的病。郝恩先生？医生现在要看您的病了。
哇，看起来太奇怪了！	一点不假。它是一种奇怪的药。一种在中国才能买到的补药。古代很多中医杂志都记载着这种药专治久病不愈、夜间盗汗、腰膝疼痛和贫血症。而且它没有副作用。
嘿，吉姆，吃完晚餐之前去喝些啤酒怎么样？	你知道的，这很诱人，但是对我们的健康没有好处。
嘿，比尔。我昨天看到你奶奶了。	噢，在哪里看到？
玛丽，今晚去健身房吗？	是的，萨利。我想做仰卧起坐，也许还打乒乓球。
医生，我要怎么样才能减肥？我就看一眼食物也能长胖。	额，吉姆。这关系到你吃多少，吃什么食物以及你什么吃。
年轻人，你怎么了？	医生，我咳嗽咳得很厉害，还头疼。
进来，请坐，杰克。你哪里不舒服？	我的肚子很疼，医生。
额，早上好，汤姆。很久不见了。	从几天前开始我觉得不舒服。
我怎么了，医生？我这些天觉得很累。	恐怕是你的血压太高了。
你的检查结果怎么样？	说来话长了。
我想要做脸部按摩。	你想做哪种？我们有5种不同的脸部按摩。
能帮我染一下头发吗？	当然，你想要染成什么颜色的？
你好！怎么样。	我不舒服！我刚去看医生了。这几天一直不舒服。
嗨,你看起来状态不错最近怎么样?	知道吗,最近我常去健身俱乐部.锻炼确实很有用,我现在身材不错,还学到很多保健知识.
嗨，本杰明。我是格林医生。你哪里不舒服？	我觉得不舒服已经有好几天了。
Billy，你看上去不舒服。也许你该请一天假。	可是妈妈！我们今天踢足球！我喜欢足球！
早上好。怎么回事？	早上好，医生。我感觉不舒服。我感冒了，脖子上有疹子。我还睡不好觉。你觉得是什么问题？
你有什么问题？	我不舒服，医生。我喉咙疼。
你哪儿不舒服？	我嗓子痛，头也疼.
下午好,女士.有什么能为您效劳吗?	那个,我身体不太好,想做点运动来保持体型.你们能提供什么服务?
丹，丹，哥们。你必须马上到我家来。	一切都正常吗？
你怎么了？为什么一直在搔。	我感到很痒，我再也无法忍受了。我想我肯定是得了某种病，我感到头昏、无力。
老兄，你没事吧？你脸色看起来很不好。	我感觉糟透了。我最晚和Trevor出去了，后来事情有点失控了。
你有什么问题？	我的牙很痛。我的脸肿了，我都没法吃东西了。
抱歉，我要重新加满这瓶药。	瓶子上写着你可以重新加满两次。
我需要帮助，我的手臂断了。	好的。你以前来过这家医院吗？
啊！好痛，别碰我。	哪里痛？
瞧，吉姆，那边有人摔下来了.	我们最好去看看他是否没事。
没有。快让我看医生，我很担心我的手臂。	先生，勇敢一点，不会很久。我帮你填表格，你叫什么名字？
哦，我的牙痛死了。	你该去看看牙医。
我的妻子要生小孩了。	这里，女士，请到担架上来。
你怎么了?	我喉咙痛并且胸口也觉得不舒服
我骑车撞到栏杆，你说呢？该死，好痛！	要送你去医院才行，我可以骑车载你去。
额，史密斯先生。你受到严重的感染。	是的。医生，有没有什么药可以清除感染？
你现在的体温是多少呢？	我的体温是摄氏39度。
噢，我想我把腿摔断了。	这里，先生。坐在这张轮椅上。
哦哦哦，我好像是把腿给摔断了。	坐这儿，先生，坐在轮椅上。
你好，医生。	嗯，威廉斯先生，你怎么了？
你好，史密斯先生。我是霍金斯医生。你今天怎么来了？	我想做个检查还是好一些。
史密斯先生，你好。我是霍金斯医生。你今天来这里干嘛？	我觉得来做个身体检查好点。
你在干什么？	看看我，我看起来真老，好像已经30岁了。
莉莉！怎么还不起床准备上学？	妈，我不舒服。
